Rank,Movie_Name,Year,Rating,year
,"1.
      The Shawshank Redemption
(1994)",9.2,"12345678910 



NOT YET RELEASED
 

Seen",9.2
,"2.
      The Godfather
(1972)",9.2,"12345678910 



NOT YET RELEASED
 

Seen",9.2
,"3.
      The Dark Knight
(2008)",9.0,"12345678910 



NOT YET RELEASED
 

Seen",9.0
,"4.
      The Godfather Part II
(1974)",9.0,"12345678910 



NOT YET RELEASED
 

Seen",9.0
,"5.
      12 Angry Men
(1957)",9.0,"12345678910 



NOT YET RELEASED
 

Seen",9.0
,"6.
      Schindler's List
(1993)",8.9,"12345678910 



NOT YET RELEASED
 

Seen",8.9
,"7.
      The Lord of the Rings: The Return of the King
(2003)",8.9,"12345678910 



NOT YET RELEASED
 

Seen",8.9
,"8.
      Pulp Fiction
(1994)",8.8,"12345678910 



NOT YET RELEASED
 

Seen",8.8
,"9.
      The Lord of the Rings: The Fellowship of the Ring
(2001)",8.8,"12345678910 



NOT YET RELEASED
 

Seen",8.8
,"10.
      The Good, the Bad and the Ugly
(1966)",8.8,"12345678910 



NOT YET RELEASED
 

Seen",8.8
,"11.
      Forrest Gump
(1994)",8.8,"12345678910 



NOT YET RELEASED
 

Seen",8.8
,"12.
      Fight Club
(1999)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"13.
      The Lord of the Rings: The Two Towers
(2002)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"14.
      Inception
(2010)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"15.
      Star Wars: Episode V - The Empire Strikes Back
(1980)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"16.
      The Matrix
(1999)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"17.
      Goodfellas
(1990)",8.7,"12345678910 



NOT YET RELEASED
 

Seen",8.7
,"18.
      One Flew Over the Cuckoo's Nest
(1975)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"19.
      Se7en
(1995)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"20.
      It's a Wonderful Life
(1946)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"21.
      Seven Samurai
(1954)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"22.
      The Silence of the Lambs
(1991)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"23.
      Saving Private Ryan
(1998)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"24.
      City of God
(2002)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"25.
      Interstellar
(2014)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"26.
      Life Is Beautiful
(1997)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"27.
      The Green Mile
(1999)",8.6,"12345678910 



NOT YET RELEASED
 

Seen",8.6
,"28.
      Star Wars: Episode IV - A New Hope
(1977)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"29.
      Terminator 2: Judgment Day
(1991)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"30.
      Back to the Future
(1985)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"31.
      Spirited Away
(2001)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"32.
      The Pianist
(2002)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"33.
      Psycho
(1960)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"34.
      Parasite
(2019)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"35.
      L̩on: The Professional
(1994)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"36.
      Gladiator
(2000)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"37.
      The Lion King
(1994)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"38.
      American History X
(1998)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"39.
      The Departed
(2006)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"40.
      Whiplash
(2014)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"41.
      The Prestige
(2006)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"42.
      The Usual Suspects
(1995)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"43.
      Casablanca
(1942)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"44.
      Grave of the Fireflies
(1988)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"45.
      Harakiri
(1962)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"46.
      The Intouchables
(2011)",8.5,"12345678910 



NOT YET RELEASED
 

Seen",8.5
,"47.
      Modern Times
(1936)",8.4,"12345678910 



NOT YET RELEASED
 

Seen",8.4
,"48.
      Once Upon a Time in the West
(1968)",8.4,"12345678910 



NOT YET RELEASED
 

Seen",8.4
,"49.
      Cinema Paradiso
(1988)",8.4,"12345678910 



NOT YET RELEASED
 

Seen",8.4
,"50.
      Rear Window
(1954)",8.4,"12345678910 



NOT YET RELEASED
 

Seen",8.4
